ContractID,CustomerID,ProductType,AssetType,ContractAmount,InterestRate,TenureMonths,PaymentFrequency,CreditScore,Region,Channel,ContractStatus,StartDate,LastPaymentDate,InsuranceType,PremiumAmount,ClaimsCount,CreatedAt,IsDefault,HasClaim
CT000019,CUST84668,Vehicle Insurance,Property,5038500,0,12,Quarterly,625,East,Dealer,Active,11-11-2020,20-10-2025,No,0,0,15-11-2020,0,0
CT000020,CUST98039,Loan,Property,4776414,0.359,12,Quarterly,437,South,Dealer,Active,25-04-2021,11-03-2025,Yes,0,0,27-04-2021,0,0
CT000021,CUST42018,Loan,Other,175807,0.178,12,Monthly,626,North,Broker,Closed,12-06-2020,09-03-2021,No,0,0,12-10-2020,0,0
CT000022,CUST44664,Vehicle Insurance,Other,410594,0,12,Monthly,574,West,Branch,Active,11-05-2018,18-10-2025,No,0,0,25-11-2018,0,0
CT000023,CUST65518,Property Insurance,Truck,1326956,0,12,Annually,658,North,Dealer,Closed,15-12-2019,06-10-2020,No,0,0,19-12-2019,0,0
CT000024,CUST81511,Loan,Bike,77355,0.1994,36,Annually,604,East,Branch,Active,13-06-2015,10-05-2025,No,0,0,07-10-2015,0,0
CT000025,CUST63264,Property Insurance,Truck,1957129,0,12,Annually,649,Central,Branch,Active,16-08-2019,28-09-2025,No,0,0,09-08-2019,0,0
CT000026,CUST42527,Loan,Equipment,976057,0.2449,24,Monthly,577,West,Branch,Active,30-06-2017,31-07-2025,Yes,0,0,30-06-2017,0,0
CT000027,CUST96511,Loan,Other,338474,0.2071,48,Monthly,610,South,Broker,Defaulted,17-09-2020,24-07-2025,No,0,0,25-09-2020,0,0
CT000028,CUST33405,Vehicle Insurance,Bike,43480,0,12,Quarterly,719,North,Online,Active,23-11-2019,26-10-2025,No,0,0,15-12-2019,0,0
CT000029,CUST67154,Equipment Insurance,Other,82512,0,12,Annually,687,Central,Online,Active,07-09-2022,10-08-2025,No,0,0,30-07-2022,0,0
CT000030,CUST26334,Vehicle Insurance,Property,3214013,0,12,Monthly,551,South,Online,Active,06-05-2016,27-07-2025,No,0,0,23-06-2016,0,0
CT000031,CUST49446,Operating Lease,Property,4917553,0.071,72,Annually,712,Central,Online,Active,20-10-2021,23-10-2025,Yes,0,0,14-11-2021,1,0
CT000032,CUST32241,Loan,Truck,1592901,0.2079,36,Monthly,595,East,Dealer,Closed,18-07-2022,18-02-2025,Yes,0,0,08-06-2022,0,0
CT000033,CUST19545,Vehicle Insurance,Equipment,852450,0,12,Monthly,592,Central,Online,Active,25-06-2019,08-01-2025,No,0,0,07-08-2019,0,0
CT000034,CUST38683,Loan,Truck,1199528,0.0327,72,Quarterly,756,East,Online,Defaulted,18-03-2020,07-10-2023,Yes,0,0,13-04-2020,1,0
CT000035,CUST76162,Operating Lease,Bike,118216,0.0883,84,Annually,683,East,Branch,Active,10-09-2017,18-09-2025,No,0,0,17-10-2017,0,0
CT000036,CUST67654,Loan,Truck,1144194,0.1308,48,Quarterly,661,South,Online,Active,08-05-2017,27-09-2025,Yes,0,0,22-08-2017,1,0
CT000037,CUST71069,Operating Lease,Other,324077,0.1081,84,Quarterly,672,North,Online,Defaulted,22-03-2015,26-08-2024,No,0,0,04-03-2015,0,0
CT000038,CUST64921,Loan,Equipment,378078,0.0337,12,Annually,766,West,Broker,Active,06-12-2020,29-09-2025,Yes,0,0,07-08-2020,0,0
CT000039,CUST71261,Operating Lease,Car,920618,0.2138,72,Quarterly,564,East,MobileApp,Active,12-10-2015,13-11-2025,Yes,0,0,20-12-2015,0,0
CT000040,CUST37742,Vehicle Insurance,Equipment,762760,0,12,Monthly,707,South,Broker,Active,30-10-2017,10-06-2025,No,0,0,11-01-2017,0,0
CT000041,CUST95426,Vehicle Insurance,Truck,1129581,0,12,Quarterly,712,Central,Branch,Closed,06-01-2016,21-06-2021,No,0,0,06-12-2016,0,0
CT000042,CUST31992,Vehicle Insurance,Bike,96929,0,12,Quarterly,657,Central,Dealer,Active,18-03-2016,10-02-2025,No,0,0,24-03-2016,0,0
CT000043,CUST19961,Vehicle Insurance,Car,560248,0,12,Annually,654,North,Dealer,Active,05-07-2021,11-11-2025,No,0,0,17-05-2021,0,0
CT000044,CUST11658,Equipment Insurance,Equipment,807180,0,12,Annually,601,North,MobileApp,Active,12-07-2022,16-10-2025,No,0,0,01-05-2023,0,0
CT000045,CUST80539,Loan,Truck,1592918,0.1518,36,Annually,650,South,Dealer,Active,21-12-2015,09-02-2025,Yes,0,0,31-12-2015,0,0
CT000046,CUST13761,Loan,Bike,82895,0.2071,72,Monthly,588,North,Branch,Active,09-07-2021,26-10-2025,No,0,0,30-09-2021,0,0
CT000047,CUST63271,Vehicle Insurance,Equipment,263451,0,12,Annually,656,West,Dealer,Closed,03-12-2015,09-02-2021,No,0,0,27-03-2015,0,0
CT000048,CUST82544,Operating Lease,Equipment,532064,0.1207,36,Monthly,656,South,Dealer,Active,14-01-2018,10-10-2025,Yes,0,0,31-01-2018,0,0
CT000049,CUST34267,Property Insurance,Property,5043678,0,12,Monthly,592,West,Online,Closed,09-10-2021,15-05-2023,No,0,0,09-10-2021,0,0
CT000050,CUST80010,Vehicle Insurance,Truck,1753568,0,12,Quarterly,821,North,Branch,Closed,25-02-2022,19-10-2023,No,0,0,03-11-2022,1,0
CT000051,CUST54657,Vehicle Insurance,Equipment,1298391,0,12,Annually,588,South,Broker,Closed,07-07-2020,11-04-2020,No,0,0,07-09-2020,0,0
CT000052,CUST42530,Vehicle Insurance,Property,5513125,0,12,Quarterly,725,West,Dealer,Active,04-08-2019,26-09-2025,No,0,0,27-04-2019,0,0
CT000053,CUST17894,Loan,Car,480020,0.2066,24,Quarterly,591,Central,Branch,Active,10-05-2016,28-09-2025,Yes,0,0,24-10-2016,0,0
CT000054,CUST71592,Equipment Insurance,Car,10000,0,12,Monthly,799,South,Dealer,Active,16-09-2022,27-08-2025,No,0,0,19-09-2022,0,0
CT000055,CUST81376,Loan,Bike,76799,0.2513,72,Annually,550,Central,Broker,Closed,09-03-2021,10-07-2022,No,0,0,25-09-2021,0,0
CT000056,CUST62757,Loan,Equipment,1504399,0.15,60,Annually,654,East,Online,Active,13-08-2018,25-08-2025,Yes,0,0,09-12-2018,0,0
CT000057,CUST12719,Operating Lease,Equipment,859718,0.052,24,Quarterly,722,North,Dealer,Active,13-02-2018,11-08-2025,Yes,0,0,26-02-2018,0,0
CT000058,CUST53687,Operating Lease,Other,218914,0.06,84,Quarterly,701,Central,Online,Active,29-06-2019,18-10-2025,No,0,0,23-07-2019,0,0
CT000059,CUST62976,Loan,Property,6206427,0.0285,60,Monthly,752,West,Online,Active,21-01-2019,13-11-2025,Yes,0,0,02-07-2019,1,0
CT000060,CUST27172,Property Insurance,Property,4001840,0,12,Monthly,672,Central,Online,Active,09-07-2017,11-08-2025,No,0,0,10-06-2017,0,0
CT000061,CUST24871,Loan,Other,327440,0.2016,48,Monthly,602,West,Branch,Defaulted,24-01-2018,02-04-2024,No,0,0,30-01-2018,0,0
CT000062,CUST88561,Equipment Insurance,Bike,100860,0,12,Annually,594,Central,Online,Closed,09-10-2020,02-06-2022,No,0,0,25-09-2020,0,0
CT000063,CUST29476,Operating Lease,Equipment,263699,0.0478,84,Monthly,720,East,Online,Defaulted,08-11-2018,25-07-2024,Yes,0,0,09-04-2018,1,0
CT000064,CUST63841,Operating Lease,Other,134072,0.02,24,Quarterly,774,West,Dealer,Defaulted,24-04-2022,26-12-2023,No,0,0,27-04-2022,1,0
CT000065,CUST67711,Operating Lease,Other,121522,0.1195,12,Annually,670,Central,Branch,Closed,24-09-2016,24-11-2021,No,0,0,14-10-2016,0,0
CT000066,CUST20527,Equipment Insurance,Equipment,760957,0,12,Monthly,675,South,Online,Active,25-01-2021,14-10-2025,No,0,0,27-01-2021,0,0
CT000067,CUST66881,Loan,Car,496453,0.2426,36,Annually,569,East,Dealer,Active,16-04-2018,28-09-2025,Yes,0,0,05-11-2018,1,0
CT000068,CUST33600,Vehicle Insurance,Equipment,796326,0,12,Monthly,713,North,Broker,Active,16-07-2021,26-08-2025,No,0,0,08-10-2021,0,0
CT000069,CUST70981,Property Insurance,Bike,65235,0,12,Quarterly,595,North,Online,Closed,03-02-2022,28-03-2023,No,0,0,03-09-2022,0,0
CT000070,CUST59986,Loan,Other,236745,0.1909,36,Monthly,604,East,MobileApp,Active,06-10-2019,16-08-2025,No,0,0,29-06-2019,0,0
CT000071,CUST75107,Loan,Bike,116176,0.1175,84,Annually,694,East,Online,Closed,08-08-2022,11-06-2024,No,0,0,08-09-2022,0,0
CT000072,CUST50492,Equipment Insurance,Bike,68447,0,12,Annually,611,East,Dealer,Active,29-08-2019,10-04-2025,No,0,0,27-09-2019,0,0
CT000073,CUST45720,Loan,Bike,89430,0.022,48,Annually,768,Central,MobileApp,Active,16-04-2016,08-01-2025,No,0,0,05-07-2016,0,0
CT000074,CUST62089,Operating Lease,Equipment,785541,0.1977,72,Quarterly,595,North,Online,Active,18-02-2019,22-07-2025,Yes,0,0,03-11-2019,0,0
CT000075,CUST40647,Equipment Insurance,Truck,1456496,0,12,Quarterly,711,East,MobileApp,Active,04-06-2022,28-08-2025,No,203642.8,1,04-10-2022,0,1
CT000076,CUST15943,Equipment Insurance,Truck,1893402,0,12,Quarterly,655,Central,Branch,Active,05-11-2019,09-11-2025,No,0,0,06-03-2019,0,0
CT000077,CUST30253,Loan,Bike,145799,0.197,48,Annually,615,Central,Dealer,Defaulted,06-08-2017,05-12-2025,No,0,0,25-06-2017,1,0
CT000078,CUST94518,Equipment Insurance,Equipment,766720,0,12,Quarterly,795,South,Branch,Active,01-11-2016,13-11-2025,No,0,0,15-01-2016,0,0
CT000079,CUST84000,Loan,Truck,1913040,0.0699,84,Monthly,712,Central,Online,Closed,09-07-2018,11-03-2023,Yes,0,0,24-09-2018,0,0
CT000080,CUST42853,Operating Lease,Truck,2250468,0.1125,36,Quarterly,677,West,Branch,Active,08-08-2021,17-08-2025,Yes,0,0,08-11-2021,0,0
CT000081,CUST18330,Operating Lease,Truck,1796785,0.1918,12,Quarterly,603,West,Online,Closed,24-11-2021,21-06-2022,Yes,0,0,14-12-2021,0,0
CT000082,CUST14082,Operating Lease,Equipment,659247,0.02,12,Annually,744,Central,Online,Active,29-10-2015,15-10-2025,Yes,0,0,16-11-2015,1,0
CT000083,CUST81874,Operating Lease,Equipment,64321,0.02,84,Annually,758,Central,Online,Closed,02-11-2016,30-01-2021,Yes,0,0,03-09-2016,0,0
CT000084,CUST38183,Operating Lease,Equipment,814094,0.1255,36,Annually,650,Central,Online,Active,25-01-2016,31-10-2025,Yes,0,0,02-09-2016,0,0
CT000085,CUST18799,Operating Lease,Truck,952564,0.0864,12,Monthly,699,North,Branch,Defaulted,28-03-2021,10-05-2023,Yes,0,0,04-08-2021,0,0
CT000086,CUST97207,Loan,Property,5522141,0.2763,24,Annually,527,Central,Dealer,Active,21-05-2017,10-06-2025,Yes,0,0,24-05-2017,0,0
CT000087,CUST46512,Vehicle Insurance,Property,4591889,0,12,Quarterly,590,West,Broker,Active,27-07-2022,23-08-2025,No,0,0,08-01-2022,0,0
CT000088,CUST45818,Operating Lease,Equipment,493885,0.0353,24,Annually,742,South,Branch,Active,13-10-2015,16-08-2025,Yes,0,0,25-10-2015,0,0
CT000089,CUST65028,Vehicle Insurance,Property,5594905,0,12,Annually,701,North,Online,Active,09-08-2021,13-11-2025,No,0,0,16-09-2021,0,0
CT000090,CUST68079,Vehicle Insurance,Car,360315,0,12,Annually,734,East,Online,Active,14-11-2018,13-09-2025,No,0,0,15-11-2018,1,0
CT000091,CUST38903,Vehicle Insurance,Bike,130033,0,12,Quarterly,611,North,Branch,Active,31-03-2018,11-03-2025,No,0,0,22-04-2018,1,0
CT000092,CUST40161,Operating Lease,Other,191668,0.2708,48,Annually,513,Central,Broker,Defaulted,23-06-2015,10-05-2024,No,0,0,07-11-2015,0,0
CT000093,CUST63008,Loan,Property,5398142,0.1386,84,Quarterly,647,North,Branch,Active,28-02-2020,19-10-2025,Yes,0,0,03-11-2020,0,0
CT000094,CUST78676,Loan,Truck,1124048,0.1159,60,Quarterly,679,Central,Dealer,Active,11-09-2015,27-07-2025,Yes,0,0,12-02-2015,0,0
CT000095,CUST94599,Vehicle Insurance,Other,508264,0,12,Annually,565,North,Online,Active,11-05-2015,09-08-2025,No,0,0,26-11-2015,0,0
CT000096,CUST83989,Operating Lease,Equipment,555350,0.1634,72,Annually,611,Central,Dealer,Closed,17-12-2019,06-03-2023,Yes,0,0,26-12-2019,0,0
CT000097,CUST70521,Vehicle Insurance,Car,541189,0,12,Annually,641,North,Broker,Active,24-11-2021,08-10-2025,No,0,0,25-11-2021,0,0
CT000098,CUST68947,Property Insurance,Equipment,864194,0,12,Annually,594,South,Online,Active,28-02-2016,16-09-2025,No,0,0,29-02-2016,1,0
CT000099,CUST42472,Operating Lease,Bike,53158,0.1977,48,Annually,606,East,Dealer,Active,05-06-2019,31-08-2025,No,0,0,05-08-2019,0,0
CT000100,CUST53213,Equipment Insurance,Property,5815974,0,12,Annually,625,West,Online,Active,09-07-2016,10-11-2025,No,0,0,28-09-2016,0,0
CT000101,CUST61374,Operating Lease,Bike,86162,0.0964,72,Quarterly,674,West,Branch,Active,06-07-2016,15-09-2025,No,0,0,18-06-2016,0,0
CT000102,CUST50483,Loan,Truck,1138183,0.2131,12,Annually,585,South,Dealer,Closed,26-09-2016,26-01-2021,Yes,0,0,19-10-2016,0,0
CT000103,CUST79013,Operating Lease,Truck,1241371,0.1232,84,Monthly,646,Central,Dealer,Closed,01-10-2017,12-09-2022,Yes,0,0,21-01-2017,0,0
CT000104,CUST98652,Operating Lease,Property,5228451,0.1236,36,Annually,667,East,Dealer,Closed,09-06-2017,08-03-2021,Yes,0,0,20-09-2017,0,0
CT000105,CUST46932,Loan,Property,4561895,0.0894,84,Annually,702,East,MobileApp,Active,20-07-2016,10-03-2025,Yes,0,0,23-07-2016,0,0
CT000106,CUST77621,Equipment Insurance,Truck,2132815,0,12,Monthly,614,North,Branch,Active,27-11-2019,10-06-2025,No,0,0,28-11-2019,0,0
CT000107,CUST61964,Loan,Bike,118239,0.3043,84,Quarterly,496,South,MobileApp,Defaulted,02-10-2016,13-07-2025,No,0,0,03-07-2016,0,0
CT000108,CUST71925,Loan,Truck,1239743,0.1351,60,Quarterly,660,East,Branch,Closed,09-04-2016,10-08-2024,Yes,0,0,13-09-2016,0,0
CT000109,CUST25970,Loan,Equipment,636449,0.192,60,Monthly,583,South,Dealer,Active,09-10-2021,20-08-2025,Yes,0,0,23-09-2021,1,0
CT000110,CUST10205,Vehicle Insurance,Property,4812203,0,12,Annually,704,South,Online,Active,17-01-2019,16-09-2025,No,0,0,29-01-2019,0,0
CT000111,CUST71621,Operating Lease,Car,932079,0.1111,24,Annually,671,Central,Online,Active,13-11-2018,09-06-2025,Yes,0,0,23-11-2018,0,0
CT000112,CUST27486,Vehicle Insurance,Other,281504,0,12,Quarterly,516,East,Broker,Closed,18-03-2020,18-05-2021,No,0,0,27-03-2020,0,0
CT000113,CUST36422,Operating Lease,Property,4538468,0.2636,36,Monthly,519,Central,Online,Closed,23-04-2020,23-05-2023,Yes,0,0,13-05-2020,0,0
CT000114,CUST53506,Vehicle Insurance,Equipment,458257,0,12,Quarterly,577,West,Online,Active,20-10-2018,14-09-2025,No,0,0,22-10-2018,0,0
CT000115,CUST65640,Loan,Car,649508,0.2866,36,Monthly,521,East,Broker,Active,24-11-2015,26-09-2025,Yes,0,0,12-08-2015,1,0
CT000116,CUST56077,Property Insurance,Bike,163015,0,12,Annually,592,West,MobileApp,Active,03-04-2022,10-04-2025,No,0,0,27-03-2022,1,0
CT000117,CUST99051,Operating Lease,Truck,1437729,0.1357,24,Monthly,656,North,Dealer,Closed,10-03-2015,19-03-2022,Yes,0,0,10-07-2015,0,0
CT000118,CUST99006,Loan,Bike,72165,0.1359,36,Monthly,670,South,Dealer,Active,19-06-2019,17-08-2025,No,0,0,07-05-2019,0,0
CT000119,CUST60723,Loan,Property,4163212,0.1219,72,Quarterly,681,South,Online,Active,15-03-2018,11-10-2025,Yes,0,0,04-12-2018,0,0
CT000120,CUST68341,Operating Lease,Bike,81894,0.02,72,Monthly,816,West,Dealer,Closed,10-07-2016,17-09-2024,No,0,0,10-11-2016,1,0
CT000121,CUST41029,Vehicle Insurance,Property,2715736,0,12,Annually,595,South,Online,Closed,15-06-2016,16-05-2021,No,0,0,07-01-2016,0,0
CT000122,CUST63843,Loan,Equipment,1046931,0.1789,60,Annually,630,North,MobileApp,Active,17-08-2022,09-10-2025,Yes,0,0,22-08-2022,0,0
CT000123,CUST26912,Operating Lease,Bike,45642,0.1344,24,Quarterly,657,Central,Branch,Closed,11-05-2016,26-06-2022,No,0,0,11-07-2016,0,0
CT000124,CUST42847,Operating Lease,Property,5497862,0.0997,24,Annually,690,South,Dealer,Closed,03-10-2022,09-12-2021,Yes,0,0,04-07-2022,0,0
CT000125,CUST89316,Loan,Other,131096,0.1355,36,Monthly,656,North,Broker,Closed,20-06-2021,23-10-2021,No,0,0,18-07-2021,0,0
CT000126,CUST92203,Vehicle Insurance,Other,260305,0,12,Quarterly,770,West,Online,Closed,22-07-2019,23-01-2023,No,0,0,28-07-2019,1,0
CT000127,CUST54589,Property Insurance,Bike,60637,0,12,Quarterly,628,South,Dealer,Closed,22-06-2019,14-01-2024,No,0,0,30-06-2019,0,0
CT000128,CUST68929,Equipment Insurance,Equipment,1206691,0,12,Quarterly,719,North,Online,Active,13-10-2017,19-08-2025,No,0,0,11-06-2017,0,0
CT000129,CUST30885,Loan,Equipment,1248813,0.2995,48,Quarterly,507,East,Broker,Active,09-01-2020,13-11-2025,Yes,0,0,20-09-2020,0,0
CT000130,CUST95755,Loan,Bike,95416,0.1814,84,Annually,645,East,Broker,Active,02-07-2019,09-08-2025,No,0,0,18-02-2019,0,0
CT000131,CUST82512,Loan,Property,5080613,0.1468,60,Quarterly,658,South,Online,Active,18-08-2022,10-03-2025,Yes,0,0,17-09-2022,0,0
CT000132,CUST57920,Loan,Truck,1600098,0.1216,84,Annually,667,East,Online,Active,26-09-2018,28-07-2025,Yes,0,0,10-06-2018,0,0
CT000133,CUST90356,Loan,Bike,74664,0.02,84,Quarterly,777,South,Dealer,Active,09-08-2020,10-12-2025,No,0,0,09-08-2020,1,0
CT000134,CUST58281,Equipment Insurance,Other,580804,0,12,Annually,639,Central,Online,Active,21-01-2022,08-12-2025,No,0,0,28-01-2022,0,0
CT000135,CUST16731,Vehicle Insurance,Equipment,1055674,0,12,Monthly,639,North,Dealer,Active,28-08-2016,11-05-2025,No,0,0,09-11-2016,0,0
CT000136,CUST51116,Vehicle Insurance,Equipment,349170,0,12,Quarterly,700,South,Branch,Closed,13-09-2015,09-05-2021,No,0,0,25-09-2015,0,0
CT000137,CUST51124,Vehicle Insurance,Other,320666,0,12,Quarterly,638,Central,Online,Active,20-08-2022,19-10-2025,No,0,0,29-08-2022,0,0
CT000138,CUST39473,Loan,Bike,59484,0.3032,84,Quarterly,502,West,Dealer,Active,14-04-2021,09-11-2025,No,0,0,26-04-2021,1,0
CT000139,CUST55237,Loan,Equipment,750639,0.214,36,Annually,586,North,MobileApp,Active,05-10-2022,16-10-2025,Yes,0,0,18-05-2022,0,0
CT000140,CUST27992,Vehicle Insurance,Property,4511143,0,12,Monthly,662,West,Branch,Closed,13-07-2017,29-09-2022,No,0,0,08-06-2017,0,0
CT000141,CUST28018,Equipment Insurance,Equipment,790174,0,12,Monthly,638,Central,Branch,Closed,05-09-2020,10-09-2021,No,0,0,06-02-2020,0,0
CT000142,CUST21725,Equipment Insurance,Truck,439612,0,12,Quarterly,658,East,Dealer,Active,09-08-2019,30-09-2025,No,0,0,10-07-2019,0,0
CT000143,CUST47941,Loan,Other,10000,0.3082,60,Quarterly,484,South,Dealer,Defaulted,02-03-2021,23-03-2024,No,0,0,02-09-2021,1,0
CT000144,CUST24764,Loan,Other,390733,0.0832,84,Annually,724,West,Dealer,Active,10-12-2018,28-10-2025,No,0,0,11-01-2018,0,0
CT000145,CUST63148,Loan,Truck,1539498,0.2397,36,Quarterly,559,South,Online,Active,05-09-2020,23-09-2025,Yes,0,0,18-05-2020,0,0
CT000146,CUST86344,Loan,Car,978250,0.2456,36,Annually,552,South,Online,Active,21-03-2020,28-07-2025,Yes,0,0,30-03-2020,1,0
CT000147,CUST25389,Operating Lease,Equipment,1293919,0.1499,36,Annually,620,East,Branch,Closed,17-10-2021,22-02-2021,Yes,0,0,11-07-2021,0,0
CT000148,CUST38627,Operating Lease,Bike,80714,0.0863,60,Monthly,697,Central,Branch,Active,16-11-2015,16-09-2025,No,0,0,12-03-2015,0,0
CT000149,CUST29641,Loan,Property,3506799,0.2428,12,Annually,549,Central,Online,Defaulted,25-06-2020,04-08-2025,Yes,0,0,07-09-2020,0,0
CT000150,CUST83912,Loan,Bike,108180,0.2622,72,Annually,525,East,Broker,Defaulted,13-01-2015,09-03-2024,No,0,0,30-01-2015,0,0
CT000151,CUST17897,Loan,Other,10000,0.02,48,Quarterly,790,North,Online,Defaulted,30-03-2022,15-03-2023,No,0,0,04-01-2022,1,0
CT000152,CUST99486,Property Insurance,Equipment,790713,0,12,Quarterly,727,West,Online,Closed,12-06-2020,04-07-2025,No,0,0,27-12-2020,0,0
CT000153,CUST81361,Loan,Bike,110168,0.02,72,Monthly,822,South,Branch,Active,02-11-2017,09-02-2025,No,0,0,17-02-2017,1,0
CT000154,CUST18819,Equipment Insurance,Truck,1284096,0,12,Monthly,616,North,Online,Active,07-01-2015,08-12-2025,No,0,0,17-07-2015,0,0
CT000155,CUST47914,Vehicle Insurance,Truck,1911662,0,12,Monthly,571,South,Online,Active,21-05-2018,15-10-2025,No,0,0,20-06-2018,0,0
CT000156,CUST87550,Equipment Insurance,Other,10000,0,12,Quarterly,728,East,Branch,Active,04-11-2019,10-12-2025,No,0,0,05-05-2019,0,0
CT000157,CUST80507,Loan,Equipment,856030,0.1404,60,Quarterly,652,Central,Online,Defaulted,25-08-2015,04-06-2025,Yes,0,0,09-02-2015,0,0
CT000158,CUST36651,Operating Lease,Truck,1180624,0.2654,36,Monthly,528,Central,Broker,Active,31-07-2015,31-07-2025,Yes,0,0,25-08-2015,0,0
CT000159,CUST87015,Loan,Car,562650,0.2473,24,Monthly,579,East,Broker,Active,17-05-2017,19-09-2025,Yes,0,0,06-05-2017,0,0
CT000160,CUST36805,Operating Lease,Other,226856,0.1291,36,Monthly,657,East,Dealer,Active,01-11-2019,21-09-2025,No,0,0,02-03-2019,0,0
CT000161,CUST71537,Equipment Insurance,Other,584013,0,12,Quarterly,528,South,Online,Active,20-08-2016,27-09-2025,No,0,0,26-08-2016,0,0
CT000162,CUST53236,Vehicle Insurance,Other,194752,0,12,Quarterly,593,East,Branch,Active,14-10-2018,17-08-2025,No,0,0,19-10-2018,0,0
CT000163,CUST56160,Property Insurance,Car,958102,0,12,Monthly,794,West,Online,Active,16-11-2020,13-11-2025,No,0,0,20-11-2020,0,0
CT000164,CUST92667,Operating Lease,Car,781392,0.2622,72,Annually,524,West,Branch,Defaulted,12-05-2021,24-02-2024,Yes,0,0,12-05-2021,0,0
CT000165,CUST12192,Vehicle Insurance,Other,217941,0,12,Monthly,735,East,Online,Active,30-10-2019,13-09-2025,No,0,0,11-05-2019,0,0
CT000166,CUST91235,Loan,Equipment,989882,0.1717,60,Monthly,613,West,Online,Defaulted,24-02-2020,21-09-2023,Yes,0,0,22-03-2020,1,0
CT000167,CUST95182,Loan,Car,907405,0.1571,24,Quarterly,645,South,Online,Active,18-11-2022,08-11-2025,Yes,0,0,15-12-2022,0,0
CT000168,CUST22499,Equipment Insurance,Equipment,840154,0,12,Annually,715,South,MobileApp,Closed,15-01-2018,05-07-2022,No,0,0,16-01-2018,1,0
CT000169,CUST33508,Vehicle Insurance,Equipment,1065955,0,12,Annually,612,Central,Online,Active,11-12-2015,10-01-2025,No,0,0,29-11-2015,0,0
CT000170,CUST53480,Operating Lease,Bike,128338,0.2114,12,Annually,566,West,Dealer,Defaulted,08-08-2015,12-11-2023,No,0,0,20-08-2015,0,0
CT000171,CUST52778,Operating Lease,Equipment,1234093,0.122,24,Annually,660,West,Online,Active,11-04-2019,13-08-2025,Yes,0,0,29-11-2019,0,0
CT000172,CUST42302,Vehicle Insurance,Other,242455,0,12,Quarterly,719,South,Online,Active,15-05-2019,24-09-2025,No,0,0,23-05-2019,0,0
CT000173,CUST23399,Operating Lease,Car,811754,0.0852,12,Quarterly,707,North,Online,Active,18-04-2015,08-11-2025,Yes,0,0,30-04-2015,0,0
